heart_rate,temperature,acc_x,acc_y,acc_z,activity_label,acc_magnitude,acc_range,hr_temp_ratio
139.5,37.6,561.0,255.1,1186.8,running,1337.2700736949137,931.6999999999999,0.37101063829787234
130.5,37.7,755.8,384.6,1039.0,running,1341.145704239476,654.4,0.34615384615384615
125.0,37.1,520.7,385.6,1166.4,running,1334.2806338997805,780.8000000000001,0.33692722371967654
78.3,36.6,50.1,21.4,974.3,sitting,975.8219407248434,952.9,0.2139344262295082
73.5,36.2,102.6,1.0,991.1,sitting,996.3969941745108,990.1,0.20303867403314918
140.1,37.0,620.6,344.3,1091.1,running,1301.6090273196478,746.8,0.3786486486486486
87.4,36.9,213.7,45.6,1000.7,walking,1024.2790342479925,955.1,0.23685636856368567
76.0,37.0,245.6,159.2,1036.2,walking,1076.7425133243323,877.0,0.20540540540540542
86.8,36.7,262.0,59.7,1004.0,walking,1039.3382943007537,944.3,0.23651226158038147
72.7,36.5,82.3,3.4,993.9,sitting,997.3074049659914,990.5,0.19917808219178082
88.2,37.1,284.4,40.8,992.1,walking,1032.865146086361,951.3000000000001,0.23773584905660378
92.8,37.2,163.3,95.8,983.7,walking,1001.7535724917581,887.9000000000001,0.24946236559139784
95.8,37.0,147.2,39.4,1031.1,walking,1042.2990981479354,991.6999999999999,0.25891891891891894
60.8,36.3,64.0,27.1,966.0,sitting,968.4969850237015,938.9,0.1674931129476584
114.3,37.3,784.2,313.9,1201.7,running,1468.8722681023019,887.8000000000001,0.3064343163538874
138.4,37.5,690.4,234.0,1076.3,running,1299.934556045034,842.3,0.3690666666666667
148.2,37.4,847.1,257.2,1099.2,running,1411.3719885274754,842.0,0.3962566844919786
153.7,37.9,840.9,211.3,1163.3,running,1450.871252041338,952.0,0.4055408970976253
63.5,36.5,104.5,5.6,960.6,sitting,966.283586738386,955.0,0.17397260273972603
79.2,36.2,68.7,-26.0,987.4,sitting,990.1285017612613,1013.4,0.21878453038674034
143.0,37.1,768.7,346.2,1012.8,running,1317.7700747854308,666.5999999999999,0.38544474393531
58.9,36.2,80.3,-14.0,979.2,sitting,982.5867544395254,993.2,0.16270718232044198
139.5,37.2,602.1,282.4,1008.8,running,1208.2845732690623,726.4,0.375
58.4,36.6,52.5,17.6,990.6,sitting,992.1463450519788,973.0,0.15956284153005465
93.5,37.0,131.2,110.2,1028.9,walking,1043.0688807552453,918.7,0.2527027027027027
73.9,36.2,95.5,-19.7,974.1,sitting,978.9684111349048,993.8000000000001,0.2041436464088398
128.6,37.6,585.6,314.6,1177.9,running,1352.534262042925,863.3000000000001,0.34202127659574466
96.2,36.6,134.9,98.1,1000.3,walking,1014.1112907368697,902.1999999999999,0.26284153005464483
76.6,36.7,135.9,146.2,1024.6,walking,1043.86225623882,888.6999999999999,0.2087193460490463
69.7,36.6,54.1,-25.4,963.1,sitting,964.9526309617482,988.5,0.19043715846994536
126.1,37.5,698.0,311.1,1146.9,running,1378.1751775445675,835.8000000000001,0.33626666666666666
84.6,37.2,209.8,61.3,1030.6,walking,1053.5227050234844,969.3,0.22741935483870968
90.7,36.8,151.0,162.8,989.7,walking,1014.3031745982066,838.7,0.24646739130434783
150.2,37.4,776.8,262.0,1090.1,running,1363.9575689881265,828.0999999999999,0.40160427807486626
98.7,37.0,343.3,48.2,1014.3,walking,1071.9060686459425,966.0999999999999,0.26675675675675675
76.7,36.6,85.3,-22.3,954.5,sitting,958.5633155926633,976.8,0.20956284153005464
78.9,36.2,72.8,-28.3,976.5,sitting,979.6187932047853,1004.8,0.2179558011049724
142.2,37.4,696.6,198.2,1040.5,running,1267.7440790632784,842.3,0.3802139037433155
73.1,36.2,64.7,-23.9,995.5,sitting,997.8865416468949,1019.4,0.20193370165745855
83.7,36.8,261.5,88.6,1034.9,walking,1071.097670616457,946.3000000000001,0.22744565217391305
78.4,36.4,107.3,22.6,977.2,sitting,983.3330514123891,954.6,0.2153846153846154
79.8,36.2,50.0,-24.2,962.1,sitting,963.702262112111,986.3000000000001,0.22044198895027622
87.4,37.0,134.4,153.8,1043.4,walking,1063.2033483769699,909.0000000000001,0.23621621621621622
82.9,36.9,124.9,88.3,1003.5,walking,1015.0907102323417,915.2,0.22466124661246614
145.1,37.7,776.5,386.9,1064.2,running,1373.01329199684,677.3000000000001,0.3848806366047745
81.7,36.9,171.6,84.2,1039.2,walking,1056.6327838941966,955.0,0.22140921409214093
67.9,36.5,70.5,-27.8,987.4,sitting,990.3039179968945,1015.1999999999999,0.18602739726027398
97.9,36.9,271.0,106.7,992.8,walking,1034.6389370210268,886.0999999999999,0.26531165311653115
60.3,36.5,75.8,7.6,951.4,sitting,954.4450534210966,943.8,0.1652054794520548
135.9,37.6,617.9,210.7,1158.5,running,1329.7808654060261,947.8,0.361436170212766
63.0,36.1,106.3,-21.6,999.1,sitting,1004.971173715943,1020.7,0.1745152354570637
62.1,36.3,109.9,0.3,964.6,sitting,970.8404915329809,964.3000000000001,0.17107438016528925
82.7,36.6,321.7,75.4,1018.4,walking,1070.6608286474293,943.0,0.22595628415300548
150.2,37.7,759.5,221.6,1133.0,running,1381.8957305093609,911.4,0.39840848806366047
135.0,37.7,649.1,305.0,1030.5,running,1255.5023138170634,725.5,0.35809018567639256
127.2,37.5,662.6,328.1,1044.1,running,1279.3878145425647,715.9999999999999,0.3392
124.5,37.2,639.1,202.3,1018.0,running,1218.8921609395968,815.7,0.3346774193548387
150.7,37.7,845.6,304.4,1090.7,running,1413.2675649005746,786.3000000000001,0.39973474801061004
143.7,37.3,572.0,239.2,1181.4,running,1334.2063558535465,942.2,0.385254691689008
76.5,36.8,279.7,68.3,1024.0,walking,1063.7071871525548,955.7,0.2078804347826087
128.9,37.7,801.3,261.4,1170.1,running,1442.0629875286306,908.6999999999999,0.34190981432360745
66.1,36.6,55.1,24.7,991.1,sitting,992.9377170799788,966.4,0.18060109289617485
144.8,37.1,545.0,256.8,1083.1,running,1239.3856744371383,826.3,0.3902964959568733
147.9,37.5,480.7,205.9,1021.5,running,1147.5755094981769,815.6,0.39440000000000003
127.8,37.6,747.8,276.0,1062.1,running,1327.9447465915139,786.0999999999999,0.3398936170212766
97.3,36.7,266.0,75.1,1028.4,walking,1064.895567649711,953.3000000000001,0.2651226158038147
58.1,36.2,101.5,10.1,951.4,sitting,956.8522456471532,941.3,0.16049723756906079
86.2,37.0,179.2,119.0,1003.2,walking,1026.0038401487589,884.2,0.23297297297297298
122.0,37.6,695.3,228.7,1193.9,running,1400.4081512187795,965.2,0.324468085106383
151.3,37.1,483.0,283.3,1133.2,running,1263.9976780041964,849.9000000000001,0.40781671159029653
67.4,36.3,57.6,9.6,956.5,sitting,958.2808408812106,946.9,0.1856749311294766
153.8,37.5,677.6,360.3,1172.7,running,1401.493182288091,812.4000000000001,0.41013333333333335
100.8,37.2,290.3,102.6,1020.9,walking,1066.3196800209587,918.3,0.27096774193548384
144.6,37.3,794.7,296.7,1014.2,running,1322.1878157054693,717.5,0.3876675603217158
70.6,36.6,57.1,-5.0,953.4,sitting,955.121442540162,958.4,0.19289617486338798
62.8,36.5,102.7,20.5,997.7,sitting,1003.1813544917987,977.2,0.17205479452054795
86.4,37.1,340.7,162.1,1009.3,walking,1077.5153780805172,847.1999999999999,0.23288409703504045
136.0,37.7,716.2,217.5,1090.7,running,1322.8284771655017,873.2,0.36074270557029176
120.7,37.5,792.7,314.8,1142.8,running,1425.9958520276277,828.0,0.3218666666666667
69.0,36.7,83.6,-9.5,996.3,sitting,999.8464382093882,1005.8,0.1880108991825613
81.2,37.3,160.0,120.1,1017.5,walking,1036.9813209503825,897.4,0.21769436997319036
79.2,36.6,99.2,-1.3,973.8,sitting,978.8405232723051,975.0999999999999,0.21639344262295082
77.1,36.4,77.1,-23.4,980.0,sitting,983.3066510504239,1003.4,0.2118131868131868
74.8,36.7,106.2,2.6,976.4,sitting,982.1619825670305,973.8,0.20381471389645775
152.7,37.7,490.3,215.1,1055.1,running,1183.172899452992,839.9999999999999,0.40503978779840843
116.4,37.5,513.4,343.3,1034.0,running,1204.4046039433758,690.7,0.3104
129.7,37.3,790.7,350.1,1056.0,running,1364.8855263354505,705.9,0.34772117962466487
156.8,37.4,578.8,352.7,1078.5,running,1273.8009970164098,725.8,0.4192513368983958
54.2,36.4,94.1,10.7,987.7,sitting,992.2301094000323,977.0,0.1489010989010989
70.5,36.6,55.3,-27.1,962.5,sitting,964.4681176690083,989.6,0.19262295081967212
118.2,37.9,461.5,364.7,1072.9,running,1223.5615023365192,708.2,0.31187335092348284
90.3,37.0,310.5,101.3,1000.2,walking,1052.1748809014593,898.9000000000001,0.24405405405405406
62.8,36.6,78.0,8.3,991.9,sitting,994.9967336629804,983.6,0.1715846994535519
127.3,37.4,478.7,397.0,1070.0,running,1237.6036077840108,673.0,0.34037433155080216
117.5,37.3,556.2,335.9,1191.2,running,1356.8878693539862,855.3000000000001,0.31501340482573725
78.8,36.5,81.9,14.5,989.4,sitting,992.8898327609161,974.9,0.2158904109589041
98.1,36.8,266.4,136.2,1038.2,walking,1080.4529790786826,902.0,0.26657608695652174
92.9,36.9,350.9,146.9,1008.2,walking,1077.5795376676379,861.3000000000001,0.2517615176151762
156.7,37.6,584.6,298.9,1128.9,running,1305.9531308588375,830.0000000000001,0.41675531914893615
81.1,36.8,220.5,44.5,1033.3,walking,1057.5014846325275,988.8,0.2203804347826087
81.6,36.8,331.1,110.1,995.4,walking,1054.7845182784965,885.3,0.2217391304347826
98.6,37.0,349.0,73.7,982.6,walking,1045.3398729599862,908.9,0.2664864864864865
131.2,37.6,674.1,277.7,1083.2,running,1305.6991766865751,805.5,0.3489361702127659
76.3,36.2,42.7,-18.5,997.0,sitting,998.0854372246897,1015.5,0.21077348066298343
56.0,36.5,66.6,-23.8,976.5,sitting,979.0578379237868,1000.3,0.15342465753424658
56.1,36.3,43.0,-3.6,965.9,sitting,966.863366769059,969.5,0.15454545454545454
143.2,37.4,848.5,295.6,1100.0,running,1420.3279938098806,804.4,0.38288770053475935
157.0,37.3,763.5,351.5,1139.4,running,1415.8802421108926,787.9000000000001,0.42091152815013405
57.0,36.4,96.0,-9.3,977.5,sitting,982.2467816185502,986.8,0.1565934065934066
73.9,36.9,330.8,123.5,1041.4,walking,1099.6339618254794,917.9000000000001,0.20027100271002712
79.8,36.9,207.0,123.7,1006.6,walking,1035.0817600556973,882.9,0.216260162601626
154.5,37.2,805.5,265.5,1062.1,running,1359.1824417641658,796.5999999999999,0.4153225806451613
68.7,36.4,47.3,20.0,986.3,sitting,987.6360564499455,966.3,0.18873626373626373
137.9,37.7,511.6,330.3,1045.6,running,1210.0049627997398,715.3,0.3657824933687003
65.1,36.5,51.8,-10.6,994.4,sitting,995.8046796435534,1005.0,0.17835616438356164
89.4,36.8,332.9,110.8,1015.7,walking,1074.590870982999,904.9000000000001,0.24293478260869567
76.1,36.9,210.3,40.5,1023.8,walking,1045.9602191288157,983.3,0.2062330623306233
66.6,36.1,57.8,16.0,952.7,sitting,954.5858421325973,936.7,0.18448753462603876
96.5,36.7,186.9,77.5,1009.0,walking,1029.086420083367,931.5,0.26294277929155313
87.5,37.0,316.8,60.7,1017.4,walking,1067.309463089314,956.6999999999999,0.23648648648648649
132.6,37.5,624.9,355.3,1095.3,running,1310.1222042237127,740.0,0.35359999999999997
117.5,37.2,568.8,217.2,1180.7,running,1328.443363489765,963.5,0.31586021505376344
54.9,36.8,86.7,11.2,962.8,sitting,966.7606580741688,951.5999999999999,0.14918478260869564
96.6,36.9,271.2,60.2,1041.1,walking,1077.5261899369314,980.8999999999999,0.26178861788617885
68.6,36.3,104.8,-16.8,965.7,sitting,971.5151928817172,982.5,0.1889807162534435
59.8,36.4,64.3,-22.5,962.6,sitting,965.0075129241222,985.1,0.16428571428571428
76.5,36.7,96.9,16.1,984.5,sitting,989.3882301705432,968.4,0.20844686648501362
139.8,37.2,477.1,237.7,1006.2,running,1138.6677039417602,768.5,0.37580645161290327
63.2,36.3,73.0,6.2,975.6,sitting,978.3469732155356,969.4,0.1741046831955923
67.9,36.1,97.4,-23.5,1001.2,sitting,1006.2009988068985,1024.7,0.1880886426592798
128.2,37.0,579.1,309.6,1108.6,running,1288.488622378948,798.9999999999999,0.34648648648648644
70.0,36.1,69.7,27.2,963.6,sitting,966.5003310915108,936.4,0.19390581717451524
144.7,37.4,730.7,282.1,1101.1,running,1351.2675937800032,818.9999999999999,0.3868983957219251
77.6,36.4,56.0,-23.1,959.8,sitting,961.7097535119418,982.9,0.21318681318681318
55.2,36.7,60.3,-21.3,986.1,sitting,988.1715387522554,1007.4,0.15040871934604905
85.7,36.8,130.3,56.6,1000.9,walking,1010.9314813576635,944.3,0.2328804347826087
92.2,36.9,210.7,88.7,989.0,walking,1015.0779181915052,900.3,0.24986449864498647
69.5,36.4,53.4,14.8,963.1,sitting,964.692806026872,948.3000000000001,0.19093406593406592
60.6,36.1,91.2,20.7,1002.6,sitting,1006.9521786063129,981.9,0.16786703601108033
76.0,36.7,294.4,42.4,1015.0,walking,1057.683374172063,972.6,0.20708446866485014
91.3,37.0,206.6,170.5,1040.1,walking,1074.0399527019467,869.5999999999999,0.24675675675675676
72.5,36.0,87.8,-9.3,990.0,sitting,993.9292379239077,999.3,0.2013888888888889
84.4,36.7,140.6,107.7,1012.8,walking,1028.1689987545822,905.0999999999999,0.22997275204359674
103.5,36.8,132.2,45.5,1006.6,walking,1016.2630810966224,961.1,0.28125
89.4,36.5,142.6,73.6,982.3,walking,995.3215611047517,908.6999999999999,0.24493150684931508
72.0,36.2,76.8,28.0,998.0,sitting,1001.3422192237776,970.0,0.19889502762430938
133.4,37.2,561.0,396.3,1119.3,running,1313.2430011235544,723.0,0.35860215053763445
67.1,36.6,72.4,-14.0,987.8,sitting,990.5486358579269,1001.8,0.18333333333333332
